Species	path	Ammon's horn	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	brain	cerebellum	cerebral cortex	colon	egg cell	embryo	female gonad	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	19_0,20_0,10_1,17_0	3.276479240478607e-05			1.1483348673212121e-07		1.1972815382457173e-05	4.64830714008388e-06	1.1417214505956853e-06	2.3377252956303667e-07			5.293165252561536e-08			2.4945875406713556e-07				1.5646708574574108e-07	1.9693760118504694e-07							1.8571768315339894e-06	1.0286250010863248e-07			4.6423721410774577e-08		1.093150770478732e-07		6.386129956087279e-07
monodelphis_domestica	19_0,20_0,10_1,17_0						3.816286398019394e-06	5.936151926894363e-06								2.491425618135285e-07																				
xenopus_tropicalis	19_0,20_0,10_1,17_0						1.4861072496452545e-05					8.498116311263756e-07			1.4198352857568582e-06																					
bos_taurus	19_0,20_0,10_1,17_0				1.2394337451959158e-07		1.2493538510361312e-05									2.9193599050042484e-06											1.1266297657670176e-05	4.0266492707546444e-06								
gorilla_gorilla	19_0,20_0,10_1,17_0				1.4899027083202947e-07			5.508601930064459e-06						6.313236115344747e-06		4.1601722570524665e-07				4.879308008330575e-08							9.645251531022366e-06					8.447601184526292e-08				
sus_scrofa	19_0,20_0,10_1,17_0															1.6492026929580892e-06											1.3782186666570743e-05									
homo_sapiens	19_0,20_0,10_1,17_0			1.1154305175895713e-07	6.165015921480987e-08		4.3504593231653044e-06	5.3432481166644435e-06						4.5544999930169665e-06		7.741070275269754e-07	6.489784433068779e-06	7.151923314626253e-08	1.1913296077368901e-07	9.536655685868749e-08	5.910488095179209e-08			4.914980898796514e-07	2.351025091207744e-06		4.151970820295064e-06	2.1115155721787534e-06		8.001752667766118e-08	3.1838432113516195e-06	1.3432728322550498e-07			4.3593908737110694e-07	
rattus_norvegicus	19_0,20_0,10_1,17_0						1.945893032074354e-05			1.447960148318567e-07						7.022699992459137e-08					9.862924395504132e-08							5.12931266132287e-06	4.268960268233864e-08			8.861865893765018e-08				
gorilla_gorilla	19_0,17_0							6.981774015414923e-08																			8.692613728462186e-08									
homo_sapiens	19_0,17_0						8.662035563235034e-08	3.5677676108779484e-08						1.1902153676232375e-07																	2.170802189557924e-07					
gorilla_gorilla	8_3,10_7,2_0							1.1542444274543999e-05						8.62520165672743e-06		1.1112316882522776e-06											1.5777076819359144e-05									
homo_sapiens	8_3,10_7,2_0						5.246711323815402e-06	6.908152917184212e-06						9.409775386431729e-06		8.67313835777846e-07	4.8274645786061994e-06							9.352337864463582e-07	1.3979022662395468e-06		7.6256480502194645e-06			1.0834810195906897e-07	5.861165911806387e-06				1.947776027219407e-07	
gorilla_gorilla	8_3,2_0							2.8906469418169434e-07																												
homo_sapiens	8_3,2_0							2.6134379594989677e-07									7.18463476765466e-08							1.6049322778763697e-08	7.8655642921e-08		5.996313945891183e-08									
bos_taurus	18_0,13_0,14_1				4.785770713286938e-08		1.3473866504040254e-05									4.994301770836756e-06											8.744581468412224e-06	3.7441270118590046e-06								
sus_scrofa	18_0,13_0,14_1															3.4358389436626852e-06											1.9285343719859025e-05									
sus_scrofa	18_0,14_1															0.0											8.464377948508727e-07									
bos_taurus	18_0,14_1				8.10671837741576e-08		6.839644337243926e-07			2.2933407576418128e-08						9.096127406620096e-08											1.2705241806559264e-06	1.8241431911471073e-07	1.2911956121454457e-08			1.2200937781159171e-08				
mus_musculus	16_1,12_0,7_0	3.536827799853929e-05			8.423114742733199e-08		1.3649104197299974e-05	4.0258385082327435e-06	9.965456626966649e-07	2.635679550519748e-07			1.0202337284552789e-07			2.1499919447467178e-07				2.4467464675650164e-07	2.801579764169809e-07					3.711060531157369e-08		2.1204090004550423e-06	1.5369874608335163e-07			5.4123371079528397e-08		1.510166196733688e-07		4.4110929971580304e-07
monodelphis_domestica	16_1,12_0,7_0						2.6623979411202166e-06	6.32444317834176e-06								3.342844450493283e-07																3.083146547157769e-08				
xenopus_tropicalis	16_1,12_0,7_0					2.669874086839761e-07	2.3533790197277366e-05				6.793807747630534e-08	1.1015736609657507e-06	3.6858888103654456e-07		1.9447946595717906e-06	1.6168697816124184e-07							1.1888515746214031e-07									8.28577566633473e-07				
bos_taurus	16_1,12_0,7_0				1.4011816442907152e-07		1.9003841865733142e-05			4.2230482400502294e-08						4.820223403242155e-06											8.805733476948542e-06	7.312535429129195e-06				1.3294033122307593e-07				
gorilla_gorilla	16_1,12_0,7_0				3.1717596665885057e-07			8.182423253139651e-06						1.1532755510878492e-05		9.547336983247893e-07				9.290563368670047e-08							1.653077397885655e-05					1.2015328357310114e-07				
sus_scrofa	16_1,12_0,7_0															2.523779878617682e-06					1.4334096639906178e-07						1.142239584877954e-05									
homo_sapiens	16_1,12_0,7_0		4.971916870358663e-08	1.307962443062898e-07	5.3999355469388056e-08		6.128177935063255e-06	1.1971638580596257e-05		3.346899029103416e-08				9.211882740222638e-06		1.0785775455651202e-06	7.396222366383921e-06	1.2819801530080832e-07	9.76081481833598e-08	1.3388516053352375e-07		1.0275402542104534e-07		7.67714437638329e-07	2.4165249765687505e-06		9.031891331432218e-06	2.5843649568473283e-06		1.0553670561057032e-07	1.921159937758759e-05	2.4972580437513493e-07	8.546833189496058e-08		3.095836462528923e-07	
rattus_norvegicus	16_1,12_0,7_0				2.983717510895868e-08		2.0069087354733785e-05			1.1501261670094794e-07						5.855829182391478e-08					1.717151143372996e-07							7.816555531796616e-06	1.2410807239872447e-07			2.2340249795358864e-07				
xenopus_tropicalis	16_1,7_0											9.902725527146836e-08											3.441331610878035e-08													
mus_musculus	16_1,7_0	8.000395770219576e-08					8.995622440619402e-08	6.049604563875303e-08													1.0457364441524608e-08															
gorilla_gorilla	10_1,17_0,17_1,9_0				2.4097144412547974e-07			6.402333170515958e-06						5.988369762925636e-06		4.885870566031667e-07				4.19675257046123e-08							9.937126027686991e-06					6.706528288010939e-08				
sus_scrofa	10_1,17_0,17_1,9_0															1.6658613060182718e-06					1.5926774044340203e-07						1.138672716565525e-05									
bos_taurus	10_1,17_0,17_1,9_0				1.1334421588830996e-07		1.3586629128591508e-05			1.1466703788209064e-08						2.713794717820177e-06											7.641989246671277e-06	4.630432810347084e-06								
homo_sapiens	10_1,9_0						1.5870045403565112e-08										7.168634525337118e-08							2.3704992116608674e-08												
xenopus_tropicalis	10_1,9_0					2.0711865391632628e-07	1.325532134875546e-07				5.485074481552131e-08	1.6496692044515245e-07	2.535915230113386e-07		1.3827382164181454e-07								3.441331610878035e-08									3.652051053321482e-07				
sus_scrofa	10_1,9_0															2.498791959027407e-08											9.008251828922846e-08									
bos_taurus	3_0,3_2,3_3,10_4						1.844859886431432e-05									7.08624738607011e-07											7.683124709771597e-06	4.6976912738720364e-06								
sus_scrofa	3_0,3_2,3_3,10_4															1.8324474366200995e-07											1.415628081597315e-05									
sus_scrofa	3_0,10_4															2.248912763124668e-06											7.150630478251597e-07									
bos_taurus	3_0,10_4						4.614219927012436e-07									3.397039740862302e-06											4.640479414488225e-07	1.651279941554242e-07								
bos_taurus	3_0,3_2,3_3,10_3						1.385794774924331e-05																					3.5740467425347234e-06								
sus_scrofa	3_0,3_2,3_3,10_3															1.082809848911877e-07											8.8949191310213e-06									
sus_scrofa	3_0,10_3															1.3993234970553486e-06			8.794756073922387e-08								9.008251828922848e-08									
bos_taurus	3_0,10_3				9.427555414254451e-08		2.532413491808945e-07			2.2933407576418128e-08						2.1855815264920173e-06											4.864785747621628e-07	1.3713897046866105e-07	2.582391224290891e-08			1.275219253667906e-07				
sus_scrofa	3_0,3_2,3_3,10_3,10_4															8.745771856595929e-08											6.692772720236249e-06									
bos_taurus	3_0,3_2,3_3,10_3,10_4						1.0467090591520935e-05																					2.723274016917474e-06								
sus_scrofa	3_0,10_4															2.248912763124668e-06											7.150630478251597e-07									
bos_taurus	3_0,10_4						4.614219927012436e-07									3.397039740862302e-06											4.640479414488225e-07	1.651279941554242e-07								
bos_taurus	3_0,3_2,3_3,10_4						1.844859886431432e-05									7.08624738607011e-07											7.683124709771597e-06	4.6976912738720364e-06								
sus_scrofa	3_0,3_2,3_3,10_4															1.8324474366200995e-07											1.415628081597315e-05									
bos_taurus	3_0,10_3,10_4				9.427555414254451e-08		2.532413491808945e-07			2.2933407576418128e-08						2.1855815264920173e-06											4.864785747621628e-07	1.3713897046866105e-07	2.582391224290891e-08			1.275219253667906e-07				
sus_scrofa	3_0,10_3,10_4															1.3993234970553486e-06			8.794756073922387e-08								9.008251828922848e-08									
bos_taurus	3_0,10_3,10_4				9.427555414254451e-08		2.532413491808945e-07			2.2933407576418128e-08						2.1855815264920173e-06											4.864785747621628e-07	1.3713897046866105e-07	2.582391224290891e-08			1.275219253667906e-07				
sus_scrofa	3_0,10_3,10_4															1.3993234970553486e-06			8.794756073922387e-08								9.008251828922848e-08									
sus_scrofa	3_0,10_4															2.248912763124668e-06											7.150630478251597e-07									
bos_taurus	3_0,10_4						4.614219927012436e-07									3.397039740862302e-06											4.640479414488225e-07	1.651279941554242e-07								
bos_taurus	3_3,10_3,10_4						2.945191183538063e-07																					1.7095584006572572e-07								
sus_scrofa	3_3,10_3,10_4															2.498791959027408e-08											8.633348788109848e-08									
sus_scrofa	3_3,10_4															2.4987919590274077e-07											1.5870418542736648e-05									
bos_taurus	3_3,10_4				5.364252023717719e-08		1.4066472463566834e-05									8.171100149313562e-07											8.376395951620462e-06	3.541889434077665e-06								
bos_taurus	3_0,10_3,10_4				9.427555414254451e-08		2.532413491808945e-07			2.2933407576418128e-08						2.1855815264920173e-06											4.864785747621628e-07	1.3713897046866105e-07	2.582391224290891e-08			1.275219253667906e-07				
sus_scrofa	3_0,10_3,10_4															1.3993234970553486e-06			8.794756073922387e-08								9.008251828922848e-08									
bos_taurus	3_0,3_2,3_3,10_4						1.844859886431432e-05									7.08624738607011e-07											7.683124709771597e-06	4.6976912738720364e-06								
sus_scrofa	3_0,3_2,3_3,10_4															1.8324474366200995e-07											1.415628081597315e-05									
mus_musculus	10_5,18_0,13_0	3.992975469109501e-05			6.713564597208578e-08		1.4003789488808497e-05	8.035732881089302e-06	2.06690952263012e-06	3.710062520078438e-07			1.911530805115894e-07			2.8386565967254426e-07				1.9163840949360314e-07	1.9061673768036107e-07							3.0962356698465165e-06				5.910953788608042e-08		1.0699013822021945e-07		6.767788021474851e-07
monodelphis_domestica	10_5,18_0,13_0						5.244177406280712e-06	6.0402681617710545e-06								2.9828960089333953e-07																2.569594019204044e-06				
xenopus_tropicalis	10_5,18_0,13_0					2.740769595973017e-07	6.207503515267448e-05					1.4273370812016652e-06	5.048127722096386e-07		2.330086570929946e-06	4.2140223743978005e-07												4.839874682092832e-08				1.867910872276058e-06				
bos_taurus	10_5,18_0,13_0				8.83291944869014e-08		1.6640125259819586e-05									5.772840272867014e-06											1.0110796980379688e-05	3.7860492893408933e-06				1.0617028424976201e-07				
gorilla_gorilla	10_5,18_0,13_0				2.4344301943055315e-07			7.570965259852668e-06						7.504412740881498e-06		1.3100919040272664e-06											1.4680320715865161e-05					1.1684120564284357e-07				
sus_scrofa	10_5,18_0,13_0															4.01056109423899e-06											2.082429748583922e-05									
homo_sapiens	10_5,18_0,13_0			1.7736636377288018e-07	8.49684812955062e-08		5.130087384023386e-06	6.097434729797617e-06		5.731092498700139e-08				5.218489465053271e-06		1.0038068024005106e-06	6.9734336760267304e-06	1.1002772319713641e-07	1.4130208951461154e-07	7.685035961463671e-08				3.5567363386888344e-07	2.4737834996168076e-06		5.5943066071725574e-06	2.4140560064956877e-06		1.0276710225620236e-07	4.6672247075495295e-06	1.8217502287055373e-07	4.445970742989357e-08		3.4433411674387436e-07	
rattus_norvegicus	10_5,18_0,13_0						2.6499181981262997e-05			5.651669931022532e-07						5.8218904556249894e-08												7.882394244138966e-06				1.398047857640753e-07				
gorilla_gorilla	10_5,13_0							1.5653714840865756e-07						2.2740644669337878e-07													3.672093424579734e-07									
homo_sapiens	10_5,13_0						1.7743710034458605e-07	4.0284463763522067e-07						4.115490708448239e-07		4.741020408725242e-08	6.243952978060115e-08			0.0				7.599237064107812e-08	1.2591403910443038e-07	4.473455899463907e-08	2.0316115976846481e-07	3.966426483971082e-08		6.419322880835477e-08					4.869485727749048e-08	
