Species	path	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	colon	female gonad	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	stomach	testis	thoracic mammary gland	thyroid gland
gorilla_gorilla	4_0,4_2,4_3,4_4,17_0								5.6851611673344676e-08						8.342795169299887e-08						4.4099280357073634e-08					
homo_sapiens	4_0,4_2,4_3,4_4,17_0		4.499125743276599e-07							4.6247559601397105e-08		1.7222618096815973e-07	6.7971563122612e-08	5.117770636291093e-06		1.8965169799261398e-07	6.732902910861007e-07	2.087000293631509e-07	5.811938637606385e-08				3.0730900341760196e-07			
gorilla_gorilla	4_0,17_0				2.2119884168489226e-07					4.7643243580608924e-08					1.2285997881648246e-07						8.565371385509637e-08			3.499058237223097e-08		
homo_sapiens	4_0,17_0	1.3892150298147965e-07	4.9007380259242466e-08	6.814128013895105e-08		1.1050125156486035e-07		3.5293433789184395e-08	4.9328491248632365e-08	5.137147773725982e-08		3.4142798190287464e-07	8.92631354943879e-08	1.228686289623681e-05	7.942828897226836e-08	3.832326608241041e-07	8.930145093794037e-07	7.071478778400913e-07	5.592429051746658e-08	8.511180007190099e-08			1.5627703168944032e-07			6.261915379576477e-08
gorilla_gorilla	4_0,4_2,4_3,4_4,17_0,30_1								5.1978616387057994e-08						9.950502237212776e-08						5.2410167056678185e-08					
homo_sapiens	4_0,4_2,4_3,4_4,17_0,30_1		3.6322433389633814e-07							4.721942261949642e-08		2.1002512639570884e-07	8.115619114640597e-08	5.449029562871697e-06		2.0355257145409307e-07	5.782911124539589e-07	2.1130485550805023e-07	5.6378118897341405e-08				3.005002970354421e-07			
gorilla_gorilla	4_0,30_1				6.195224814872607e-08				6.497327048382249e-08						1.8581126737340088e-07						6.487649710608502e-08			1.8782069358785547e-07		
homo_sapiens	4_0,30_1	8.765395083922982e-08	4.941411651315343e-08	1.7196780780086903e-07	7.022633681740009e-08	7.236890384517392e-08	1.8147710225762237e-07	9.626883661571553e-08	6.360224138287817e-08	9.84091152595902e-08	6.243952978060115e-08	7.325816154402695e-07	3.101515306835223e-07	1.2489483202567406e-05		4.2240414872867093e-07	1.062763965265205e-06	3.1036595949436257e-07	5.972516565600611e-08	1.235317677984766e-07	5.9296101903908886e-08		2.874607014025519e-07	9.528101986137639e-08		
gorilla_gorilla	4_0,4_2,4_3,4_4,17_0,7_0,30_1														8.292085197677312e-08											
homo_sapiens	4_0,4_2,4_3,4_4,17_0,7_0,30_1		3.906698419105249e-07							4.875594855265812e-08		1.9342344332014485e-07		6.190130611136824e-06		2.2211034115776294e-07	7.83295505136234e-07	1.982777471374825e-07	6.124613544473962e-08				2.745913351218941e-07			
gorilla_gorilla	4_0,30_1				6.195224814872607e-08				6.497327048382249e-08						1.8581126737340088e-07						6.487649710608502e-08			1.8782069358785547e-07		
homo_sapiens	4_0,30_1	8.765395083922982e-08	4.941411651315343e-08	1.7196780780086903e-07	7.022633681740009e-08	7.236890384517392e-08	1.8147710225762237e-07	9.626883661571553e-08	6.360224138287817e-08	9.84091152595902e-08	6.243952978060115e-08	7.325816154402695e-07	3.101515306835223e-07	1.2489483202567406e-05		4.2240414872867093e-07	1.062763965265205e-06	3.1036595949436257e-07	5.972516565600611e-08	1.235317677984766e-07	5.9296101903908886e-08		2.874607014025519e-07	9.528101986137639e-08		
gorilla_gorilla	17_0,7_0,30_1														8.190665254432164e-08											
homo_sapiens	17_0,7_0,30_1		2.721843770762548e-07					3.010471249243746e-08		5.377272645518014e-08		2.3581796802411518e-07		8.334850560828284e-06	4.274936197580907e-08	2.870276274880608e-07	1.0033059332365003e-06	1.7743318268614573e-07	6.749963358209116e-08	5.669105556358028e-08		9.007885445429259e-08	2.0915599853047825e-07		2.9639804953262363e-08	
gorilla_gorilla	17_0,30_1				7.373294722829741e-08				3.2486635241911244e-08	4.7643243580608924e-08					1.6381330508864328e-07						8.565371385509637e-08			2.624293677917323e-08		
homo_sapiens	17_0,30_1		1.6471372171051142e-08	1.6496037858618133e-07				2.5023742056669684e-08		5.11068746918937e-08		3.612209081059053e-07	1.3389470324158185e-07	6.7740652691941105e-06	3.191753453742018e-08	2.591560653000095e-07	1.982943979253916e-07	2.2172416008764753e-07	4.9413048982451634e-08	1.0375470696996914e-07			2.7326547150680273e-07			
gorilla_gorilla	4_0,17_0,7_0,30_1														9.555776130170859e-08											
homo_sapiens	4_0,17_0,7_0,30_1		1.9779204480391736e-07					3.1834286258019766e-08		5.297231021587336e-08		2.710213059837017e-07		9.652188005964458e-06	5.497567097462883e-08	3.190959719334086e-07	9.665421252841349e-07	3.540047477374609e-07	6.364118589388298e-08	6.616463706635385e-08			1.9152967625013228e-07			
gorilla_gorilla	4_0,30_1				6.195224814872607e-08				6.497327048382249e-08						1.8581126737340088e-07						6.487649710608502e-08			1.8782069358785547e-07		
homo_sapiens	4_0,30_1	8.765395083922982e-08	4.941411651315343e-08	1.7196780780086903e-07	7.022633681740009e-08	7.236890384517392e-08	1.8147710225762237e-07	9.626883661571553e-08	6.360224138287817e-08	9.84091152595902e-08	6.243952978060115e-08	7.325816154402695e-07	3.101515306835223e-07	1.2489483202567406e-05		4.2240414872867093e-07	1.062763965265205e-06	3.1036595949436257e-07	5.972516565600611e-08	1.235317677984766e-07	5.9296101903908886e-08		2.874607014025519e-07	9.528101986137639e-08		
gorilla_gorilla	4_0,17_0,30_1				1.4746589445659482e-07					4.7643243580608924e-08					1.4333664195256288e-07						8.565371385509637e-08			3.06167595757021e-08		
homo_sapiens	4_0,17_0,30_1		3.2739376215146806e-08	1.1655082936256619e-07				3.015858792292704e-08		5.123917621457676e-08		3.5132444500438994e-07	1.1157891936798488e-07	9.53046408271546e-06	5.567291175484427e-08	3.211943630620568e-07	5.456544536523977e-07	4.6443601896386945e-07	5.2668669749959104e-08	9.443325352093506e-08			2.147712515981215e-07			
gorilla_gorilla	4_0,30_1				6.195224814872607e-08				6.497327048382249e-08						1.8581126737340088e-07						6.487649710608502e-08			1.8782069358785547e-07		
homo_sapiens	4_0,30_1	8.765395083922982e-08	4.941411651315343e-08	1.7196780780086903e-07	7.022633681740009e-08	7.236890384517392e-08	1.8147710225762237e-07	9.626883661571553e-08	6.360224138287817e-08	9.84091152595902e-08	6.243952978060115e-08	7.325816154402695e-07	3.101515306835223e-07	1.2489483202567406e-05		4.2240414872867093e-07	1.062763965265205e-06	3.1036595949436257e-07	5.972516565600611e-08	1.235317677984766e-07	5.9296101903908886e-08		2.874607014025519e-07	9.528101986137639e-08		
