,path,brain,embryo,gastrula,heart,liver,mesonephros,testis,Species,adult mammalian kidney,colon,prefrontal cortex,lung,cerebellum,female gonad,frontal cortex,Ammon's horn,cerebral cortex,skeletal muscle tissue,zone of skin,adrenal tissue,prostate gland,multi-cellular organism,stomach,intestine,kidney,placenta,temporal lobe,spleen
0,"7_0,6_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1",0.35553215606219174,,,,,,,bos_taurus,0.5596598801160836,0.2712965463923767,0.45801518874046593,,,,,,,,,,,,,,,,,0.3017587299395404
1,"7_0,3_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1",,,,,,,,bos_taurus,,,,,,,,,,,,,,,,,,,,
2,"7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1",0.18962065283639004,,,,,,,bos_taurus,,,0.2827278445617883,,,,,,,,,,,,,,,,,
3,"7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1",0.05984511170171783,,,,,,,bos_taurus,,,,,,,,,,,,,,,,,,,,
4,"7_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1",,,,,,,,bos_taurus,,,,,,,,,,,,,,,,,,,,
5,"7_0,6_0,3_1,3_2,3_3,3_5,3_6,1_1",0.23780193562456273,,,,,,,bos_taurus,,,,,,,,,,,,,,,,,,,,
6,"7_0,6_0,3_0,2_0,1_1",0.15720014377513764,,,,,,0.3662216751184305,bos_taurus,0.27960784351848483,0.4363276451062303,0.2592569666977457,,,,,,,,,,,,,,,,,0.36111737075703
7,"7_0,3_0,2_0,1_1",,,,,,,0.6337783248815695,bos_taurus,0.16073227636543175,0.292375808501393,,,,,,,,,,,,,,,,,,0.33712389930342956
8,"7_0,6_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1",,,,,1.0,,0.2857060558917587,gorilla_gorilla,0.3111264148539532,,0.25102478260504574,,0.36973075612859374,,0.6406830579492451,,,,,,,,,,,,,
9,"7_0,6_0,3_0,2_0,1_1",,,,,,,0.37501080164206674,gorilla_gorilla,0.28914905251720463,,0.14780038079065683,,0.18065539233219438,,0.35931694205075504,,,,,,,,,,,,,
10,"7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1",,,,,,,,gorilla_gorilla,,,0.15791461272696133,,0.22172582006073346,,,,,,,,,,,,,,,
11,"7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1",,,,,,,,gorilla_gorilla,,,0.08016610691830853,,,,,,,,,,,,,,,,,
12,"7_0,6_0,3_1,3_2,3_3,3_5,3_6,1_1",,,,,,,,gorilla_gorilla,,,0.17839683148620344,,,,,,,,,,,,,,,,,
13,"7_0,6_0,2_0,1_1",,,,,,,0.3392831424661745,gorilla_gorilla,0.39972453262884206,,0.18469728547282402,,0.22788803147847847,,,,,,,,,,,,,,,
14,"7_0,6_0,3_0,2_0,1_1",0.21359288937386467,,,1.0,,,0.4344496606560396,homo_sapiens,0.439536079224318,0.5725527756862244,0.17857759787922856,0.40875331247259156,0.16000504724079617,0.6654612789973752,0.11804830037547559,,,,,0.25898183822219417,0.39763499249220585,0.09966729604338993,0.24585495895482284,0.6336312327693218,0.6777506215501696,0.3961587515569125,0.4716202270381836,
15,"7_0,6_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1",0.37136460257043447,,,,,,0.36510126996687575,homo_sapiens,0.5604639207756822,0.4274472243137756,0.28841117993215704,0.2777276922532723,0.22994267938919144,0.3345387210026248,0.2576203157922206,,,,,0.16678728323879338,0.3127011012669852,0.2543408555081807,0.157090117431306,0.36636876723067835,0.3222493784498305,0.6038412484430875,0.5283797729618163,
16,"7_0,3_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1",,,,,,,,homo_sapiens,,,,,,,,,,,,0.0862792466638093,,0.03495141052131945,0.0831544111552944,,,,,
17,"7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1",0.24552764181293968,,,,,,,homo_sapiens,,,0.18252272215769805,,0.15270722628303082,,0.1127199711329055,,,,,0.1748561788039563,,0.10416351108165274,0.17044042404533274,,,,,
18,"7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1",,,,,,,,homo_sapiens,,,0.11577634159323007,,0.08552600889994286,,0.09226736834984174,,,,,,,0.09544151407285553,,,,,,
19,"7_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1",,,,,,,,homo_sapiens,,,,,,,,,,,,,,0.0002513809894787384,,,,,,
20,"7_0,6_0,3_1,3_2,3_3,3_5,3_6,1_1",,,,,,,,homo_sapiens,,,0.2347121584376861,,0.16611287391379442,,0.27865029363457394,,,,,,,0.2927706409719604,,,,,,
21,"7_0,2_0,1_1",0.16951486624276116,,,,,,0.20044906937708454,homo_sapiens,,,,0.31351899527413607,,,,,,,,0.14417430456316926,0.28966390624080884,,,,,,,
22,"7_0,3_0,2_0,1_1",,,,,,,,homo_sapiens,,,,,,,,,,,,0.16892114850807752,,0.005885756950191281,0.1546117867379351,,,,,
23,"7_0,6_0,2_0,1_1",,,,,,,,homo_sapiens,,,,,0.20570616427324426,,0.14069375071498255,,,,,,,0.11252763386097132,0.1888483016753089,,,,,
24,"7_0,6_0,3_0,1_1",0.5091275181481985,,,,,,,monodelphis_domestica,,,,,,,,,,,,,,,,,,,,
25,"7_0,6_0,3_0,2_0,1_1",0.49087248185180155,,,1.0,,,,monodelphis_domestica,,,,,1.0,,,,,,,,,,,,,,,
26,"7_0,6_0,3_0,2_0,1_1",0.14371073308762347,,,,0.5368305202791951,,,mus_musculus,,0.44701737162306093,,,0.16819926808849903,,,0.15334168557797206,0.3094130456300109,0.327433628318584,0.3071582830657944,,,,,,,,,
27,"7_0,6_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1",0.2826882486252947,,,1.0,0.4631694797208049,,,mus_musculus,1.0,0.5529826283769391,,,0.31460028016598324,1.0,,0.2949981141757319,0.4759972285459764,0.6725663716814159,0.6928417169342055,,,,,,,,,
28,"7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1",0.14546436144319339,,,,,,,mus_musculus,,,,,0.18372378592795016,,,0.18379268091926224,,,,,,,,,,,,
29,"7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1",0.08010660797746753,,,,,,,mus_musculus,,,,,0.09437825806121726,,,0.07660149388216643,,,,,,,,,,,,
30,"7_0,6_0,3_1,3_2,3_3,3_5,3_6,1_1",0.24128587306502722,,,,,,,mus_musculus,,,,,0.2390984077563503,,,0.18914500921176075,,,,,,,,,,,,
31,"7_0,6_0,3_0,1_1",0.10674417580139374,,,,,,,mus_musculus,,,,,,,,0.10212101623310661,0.2145897258240127,,,,,,,,,,,
32,"7_0,6_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1",0.5705486295922795,,,1.0,,,,ornithorhynchus_anatinus,,,,,0.5418037442480527,0.545245329443277,,,,,,,,,,,,,,
33,"7_0,6_0,3_1,3_2,3_3,3_5,3_6,1_1",0.42945137040772047,,,,,,,ornithorhynchus_anatinus,,,,,0.4581962557519474,,,,,,,,,,,,,,,
34,"7_0,2_0,1_1",,,,,1.0,,,ornithorhynchus_anatinus,,,,,,0.45475467055672303,,,,,,,,,,,,,,
35,"3_0,2_0,1_1",1.0,,,1.0,,,,rattus_norvegicus,1.0,1.0,,,,,,,,,,,,,,,,,,
36,"7_0,6_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1",,,,,,,,sus_scrofa,,,0.4676480524113434,0.7254901960784315,,,,,,,,,,,,,,,,
37,"7_0,6_0,3_0,2_0,1_1",,,,,,,,sus_scrofa,1.0,,0.24582885687548608,0.27450980392156865,,,,,,,,,,,,,,,,
38,"7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1",,,,,,,,sus_scrofa,,,0.28652309071317056,,,,,,,,,,,,,,,,,
39,"7_0,6_0,2_0,1_1",0.36475626574547,0.4123376707094411,0.3983609688121848,,,,,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,
40,"7_0,6_0,3_0,2_0,1_1",0.63524373425453,0.5876623292905588,0.6016390311878153,1.0,1.0,1.0,1.0,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,
