Species	path	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	cerebellum	colon	female gonad	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thyroid gland
sus_scrofa	4_2,6_0,6_1,10_0																1.3824439870487292e-05					3.387669773146767e-06								
rattus_norvegicus	4_2,6_0,6_1,10_0				4.58330519751682e-06	2.7186708390554194e-06		1.0484772016329369e-05			1.9563325540895614e-06					1.3330162070641996e-06	1.2962978349434219e-05							3.257771704505853e-06	1.3068048107716313e-05			9.266728039841137e-06		
homo_sapiens	4_2,6_0,6_1,10_0			3.731674001078838e-06		3.0793953176425164e-06	4.834357235760201e-07	2.1767648596869926e-06		7.370055030786949e-06	2.2001978139542785e-06	2.29919492182332e-06	3.1634517229544806e-06	2.6689833837113897e-06					1.494801293713864e-05	6.361575732742872e-05	8.63795849895948e-06	1.6263976612952243e-06	1.5901991414297282e-06					4.5645095901386054e-06	4.223139140594021e-06	1.1629115557226536e-05
bos_taurus	4_2,6_0,6_1,10_0				4.659667593631766e-06	1.2510635429495631e-05		1.325197799662537e-05			1.4438676127799928e-05					2.958395536874385e-06	1.158109805252251e-05					2.6567244776626073e-06		3.9573885933373173e-05	2.8684437607377556e-05			6.439686998356257e-06		
sus_scrofa	4_2,10_0										4.997583918054815e-08						1.9112128853208237e-07													
rattus_norvegicus	4_2,10_0				7.479410305340942e-08	7.730350499899507e-08		1.2301853431683206e-08								7.732645932040559e-08	6.133582212270214e-08								1.0512855763793546e-07			8.270187618923036e-08		
homo_sapiens	4_2,10_0	5.832488084299754e-08				6.567604765438197e-08	3.2214275962564137e-08	3.371717518638018e-08	3.605941163084067e-08	1.3447483707422064e-07	4.243895225317077e-08	9.852270604204991e-08	7.237104402685232e-08				2.0917044635259124e-07		7.796969110475792e-08	7.220757635034302e-08	1.0995860543403166e-07		4.0300957339838023e-08			6.291807487804592e-08		1.5335019101759863e-07		
bos_taurus	4_2,10_0										2.9024863559195762e-08						9.18272610870176e-08							5.7686820788161194e-08	2.582391224290891e-08			5.0641266976369646e-08		
bos_taurus	4_2,6_0,6_1				6.81038966995063e-06	1.6195111972968408e-06		1.8951608956268202e-05			1.4858562241591736e-06					4.3248746924921625e-06	1.6094594423984134e-05					7.151759597664364e-07		9.134765471284553e-07	4.1825253979269514e-05			9.396601532588901e-06		
rattus_norvegicus	4_2,6_0,6_1				6.853260225553945e-06	1.097148240045197e-06		1.5629518130693937e-05			2.690437294102946e-06					1.955863441667744e-06	1.865701428718309e-05							8.776932094206522e-07	1.925700933740311e-05			1.3750012816796846e-05		
homo_sapiens	4_2,6_0,6_1			4.969391899503099e-06		9.529593787545808e-07	3.541753321424986e-07	2.6399767645668964e-06		9.482483702999509e-07	1.4251805232114665e-06	2.0898508722303127e-06	4.6274266898688395e-06	3.937095084833002e-06					1.3651127625350565e-05	3.1668380402526533e-07	1.2824369850320715e-05	4.328831083336648e-07	2.302594813429983e-06				4.3416043791158434e-07	5.595615408606278e-06	3.464800899382338e-06	4.414241231684641e-06
sus_scrofa	4_2,6_0,6_1																1.8013181444148763e-05					1.278105234256365e-06								
sus_scrofa	4_2,6_1				8.190145783186832e-08						1.4992751754164448e-06			2.638426822176717e-07			1.3760732774309932e-05					9.335422465124186e-06								
monodelphis_domestica	4_2,6_1					1.0369146410444319e-05	8.62097043149329e-06		1.6463161407676563e-07		8.825492267901299e-07																	7.449136239584988e-08		
homo_sapiens	4_2,6_1	4.822466962330245e-07	1.8830225526883297e-07	1.495527428573838e-06	6.940173292124172e-08	8.89587510788278e-06	3.890891983780059e-06	4.994774712297388e-07	9.397646733916071e-08	2.1517031738939037e-05	3.837723519266934e-06	3.832804282911643e-06	2.449167716198936e-07	1.625143599662934e-07	5.263083892620237e-07	2.0409420078546132e-08	4.628235903787541e-07	6.880976460074339e-07	1.1199436826892367e-05	0.00023327402631556922	3.026289663732731e-07	7.931724335001002e-06	1.2078321210744555e-07	3.614420136251734e-05		9.966095206964607e-07	4.558684598071636e-06	2.482804693801636e-06	6.997589033476091e-06	2.1379003885553236e-05
bos_taurus	4_2,6_1				3.265893492139242e-07	3.55151345138315e-05		2.919101767999475e-07			4.516439062822505e-05					2.8588762793073324e-07	3.0691497650546217e-06					6.23278800519951e-06		0.0001312511459869449	2.7765374736255426e-06			2.476174329584918e-07		
rattus_norvegicus	4_2,6_1				7.956311776470551e-08	1.0559525201548882e-05		3.182556383133886e-07			9.757324064255958e-07					8.808334904520072e-09	1.922493345051398e-06							1.1115640075491595e-05	6.027877324497767e-07			1.1110360238201481e-07		
bos_taurus	4_2,6_0,10_0				1.1991049478804613e-05	3.3619522839654685e-06		3.719154884467879e-05			2.341795305519788e-06					7.221869008100554e-06	2.832936688867472e-05					1.1662597450257576e-06		1.2957448029397374e-06	7.763676156636191e-05			1.4980747354118775e-05		
rattus_norvegicus	4_2,6_0,10_0				1.1237256832838194e-05	1.577640706110228e-06		2.6421502934882735e-05			3.8177700486202135e-06					3.186646141453284e-06	2.9420668425720494e-05							1.1600260117391192e-06	3.273102217555757e-05			2.0401441998522536e-05		
homo_sapiens	4_2,6_0,10_0	2.2179343901869973e-05	1.7085491131356182e-05	9.98262634887687e-06	7.014370485223157e-06	2.2281590935467287e-06	3.5053798622184557e-07	7.536556587700884e-06	3.117191665661025e-05	1.6309841104933288e-06	2.7165876144320873e-06	4.077280706276997e-06	1.0096891165792109e-05	7.969714020952496e-06	3.2125875414180566e-05	1.816702894274409e-06	1.1975889697644648e-05	7.748394685010692e-06	2.8465111904745317e-05	5.277846691051166e-07	2.6459259243094543e-05	6.081494041953883e-07	4.637995968548048e-06	9.917046248621063e-07		7.641616165130894e-06		1.2118811229362924e-05	9.683667864443582e-06	1.0977678623666027e-05
sus_scrofa	4_2,6_0,10_0				1.1338745393040452e-05						5.409884591294339e-06			1.5962482274169135e-05		6.237457308786117e-06	4.969153501834143e-05					1.8561699894436172e-06								
sus_scrofa	4_2,10_0										4.997583918054815e-08						1.9112128853208237e-07													
rattus_norvegicus	4_2,10_0				7.479410305340942e-08	7.730350499899507e-08		1.2301853431683206e-08								7.732645932040559e-08	6.133582212270214e-08								1.0512855763793546e-07			8.270187618923036e-08		
homo_sapiens	4_2,10_0	5.832488084299754e-08				6.567604765438197e-08	3.2214275962564137e-08	3.371717518638018e-08	3.605941163084067e-08	1.3447483707422064e-07	4.243895225317077e-08	9.852270604204991e-08	7.237104402685232e-08				2.0917044635259124e-07		7.796969110475792e-08	7.220757635034302e-08	1.0995860543403166e-07		4.0300957339838023e-08			6.291807487804592e-08		1.5335019101759863e-07		
bos_taurus	4_2,10_0										2.9024863559195762e-08						9.18272610870176e-08							5.7686820788161194e-08	2.582391224290891e-08			5.0641266976369646e-08		
bos_taurus	4_2,6_0,10_0				1.1991049478804613e-05	3.3619522839654685e-06		3.719154884467879e-05			2.341795305519788e-06					7.221869008100554e-06	2.832936688867472e-05					1.1662597450257576e-06		1.2957448029397374e-06	7.763676156636191e-05			1.4980747354118775e-05		
rattus_norvegicus	4_2,6_0,10_0				1.1237256832838194e-05	1.577640706110228e-06		2.6421502934882735e-05			3.8177700486202135e-06					3.186646141453284e-06	2.9420668425720494e-05							1.1600260117391192e-06	3.273102217555757e-05			2.0401441998522536e-05		
homo_sapiens	4_2,6_0,10_0	2.2179343901869973e-05	1.7085491131356182e-05	9.98262634887687e-06	7.014370485223157e-06	2.2281590935467287e-06	3.5053798622184557e-07	7.536556587700884e-06	3.117191665661025e-05	1.6309841104933288e-06	2.7165876144320873e-06	4.077280706276997e-06	1.0096891165792109e-05	7.969714020952496e-06	3.2125875414180566e-05	1.816702894274409e-06	1.1975889697644648e-05	7.748394685010692e-06	2.8465111904745317e-05	5.277846691051166e-07	2.6459259243094543e-05	6.081494041953883e-07	4.637995968548048e-06	9.917046248621063e-07		7.641616165130894e-06		1.2118811229362924e-05	9.683667864443582e-06	1.0977678623666027e-05
sus_scrofa	4_2,6_0,10_0				1.1338745393040452e-05						5.409884591294339e-06			1.5962482274169135e-05		6.237457308786117e-06	4.969153501834143e-05					1.8561699894436172e-06								
monodelphis_domestica	4_2,6_1,10_0					1.0806358271909676e-05	5.9997074444586106e-06		1.8524678245250638e-07		6.573557202410568e-07																	2.237569659140085e-07		
bos_taurus	4_2,6_1,10_0				3.4240639510398193e-07	3.490400920386235e-05		1.0723131270698258e-06			4.2754353281653244e-05					2.556624267847822e-07	2.8116275373269417e-06					6.386304759327229e-06		0.00012407292534640375	2.5896711686095956e-06			3.8673768142472936e-07		
sus_scrofa	4_2,6_1,10_0				8.190145783186832e-08						1.261889939308841e-06						9.60384474873714e-06					8.471110658025878e-06								
homo_sapiens	4_2,6_1,10_0	7.490538092930814e-07	4.488957336928825e-07	1.3758828164020761e-06	6.405717163472031e-08	8.114071151650585e-06	2.3164242451115607e-06	8.74909260578462e-07	1.4133689295762561e-07	2.086535004534999e-05	3.793977957353418e-06	3.2753436519604886e-06	2.4020928037282837e-07	1.4763717071722874e-07	5.312225413497633e-07	3.289710124139883e-08	5.415118954672111e-07	9.21657982664014e-07	1.437061019380358e-05	0.00021174396534490243	2.838823813051408e-07	5.972575551109672e-06	1.4309550476833173e-07	3.608902714476998e-05		8.2660755816358e-07		2.492551323502449e-06	6.36870232824674e-06	2.3718934046931785e-05
rattus_norvegicus	4_2,6_1,10_0				6.14791296036377e-08	8.260620619312373e-06		2.567677129568113e-07			7.319277402441939e-07					4.806503638081518e-08	1.748699909493937e-06							9.566784385083925e-06	6.464566903962461e-07			2.0563104415586745e-07		
monodelphis_domestica	4_2,6_1,10_0					1.0806358271909676e-05	5.9997074444586106e-06		1.8524678245250638e-07		6.573557202410568e-07																	2.237569659140085e-07		
bos_taurus	4_2,6_1,10_0				3.4240639510398193e-07	3.490400920386235e-05		1.0723131270698258e-06			4.2754353281653244e-05					2.556624267847822e-07	2.8116275373269417e-06					6.386304759327229e-06		0.00012407292534640375	2.5896711686095956e-06			3.8673768142472936e-07		
sus_scrofa	4_2,6_1,10_0				8.190145783186832e-08						1.261889939308841e-06						9.60384474873714e-06					8.471110658025878e-06								
homo_sapiens	4_2,6_1,10_0	7.490538092930814e-07	4.488957336928825e-07	1.3758828164020761e-06	6.405717163472031e-08	8.114071151650585e-06	2.3164242451115607e-06	8.74909260578462e-07	1.4133689295762561e-07	2.086535004534999e-05	3.793977957353418e-06	3.2753436519604886e-06	2.4020928037282837e-07	1.4763717071722874e-07	5.312225413497633e-07	3.289710124139883e-08	5.415118954672111e-07	9.21657982664014e-07	1.437061019380358e-05	0.00021174396534490243	2.838823813051408e-07	5.972575551109672e-06	1.4309550476833173e-07	3.608902714476998e-05		8.2660755816358e-07		2.492551323502449e-06	6.36870232824674e-06	2.3718934046931785e-05
rattus_norvegicus	4_2,6_1,10_0				6.14791296036377e-08	8.260620619312373e-06		2.567677129568113e-07			7.319277402441939e-07					4.806503638081518e-08	1.748699909493937e-06							9.566784385083925e-06	6.464566903962461e-07			2.0563104415586745e-07		
sus_scrofa	4_2,10_0										4.997583918054815e-08						1.9112128853208237e-07													
rattus_norvegicus	4_2,10_0				7.479410305340942e-08	7.730350499899507e-08		1.2301853431683206e-08								7.732645932040559e-08	6.133582212270214e-08								1.0512855763793546e-07			8.270187618923036e-08		
homo_sapiens	4_2,10_0	5.832488084299754e-08				6.567604765438197e-08	3.2214275962564137e-08	3.371717518638018e-08	3.605941163084067e-08	1.3447483707422064e-07	4.243895225317077e-08	9.852270604204991e-08	7.237104402685232e-08				2.0917044635259124e-07		7.796969110475792e-08	7.220757635034302e-08	1.0995860543403166e-07		4.0300957339838023e-08			6.291807487804592e-08		1.5335019101759863e-07		
bos_taurus	4_2,10_0										2.9024863559195762e-08						9.18272610870176e-08							5.7686820788161194e-08	2.582391224290891e-08			5.0641266976369646e-08		
bos_taurus	6_0,6_1,10_0				2.102975897863074e-07	1.719322433892881e-05		9.492914462462702e-07			2.0225370217399245e-05					1.3738988524242524e-07	1.3529142375534408e-06					3.3067121990720977e-06		5.8489848574993607e-05	1.3886257955579137e-06			3.496086077676973e-07		
rattus_norvegicus	6_0,6_1,10_0				4.553071871210501e-08	3.074752940054571e-06		1.1648168906377293e-07			2.700056565113306e-07					4.806503638081518e-08	8.798756564157255e-07							4.070879692892005e-06	3.631433929144354e-07			3.373596938048916e-07		
homo_sapiens	6_0,6_1,10_0			6.608670928509124e-07		3.739950289178287e-06	3.995551832634426e-07	6.386822135276793e-07		1.0194330143739542e-05	1.9004666060423839e-06	1.4307878581812137e-06	1.779974961496257e-07	1.0913630564939163e-07					8.797110547007438e-06	9.514501650319802e-05	1.468534870991952e-07	2.058547026462645e-06	1.0957120360783431e-07					1.3039008668560908e-06	2.8773741833368614e-06	1.3085079977751687e-05
sus_scrofa	6_0,6_1,10_0																2.819039005848216e-06					3.881284371364829e-06								
sus_scrofa	6_0,10_0				8.461849292423971e-06						5.6972456665824915e-06			1.6446193858234866e-05		5.693433935618344e-06	6.354782843691741e-05					1.3118994021765893e-06								
rattus_norvegicus	6_0,10_0				8.815659510550136e-06	1.1487747751633406e-06		2.162165319890491e-05			2.306553747994404e-06					2.4703737344755996e-06	2.171215311596978e-05							6.884962957446894e-07	2.6984186813795073e-05			1.367741926513144e-05		
homo_sapiens	6_0,10_0	2.8212313733956458e-05	2.0701672726627118e-05	1.0091964880219052e-05	5.493193630340892e-06	2.6980328125224824e-06	4.987916824251614e-08	9.82018302339615e-06	3.189810727871863e-05	1.540463416104892e-06	2.633514999086107e-06	4.118552363446462e-06	1.1059422155020026e-05	8.150750502069606e-06	3.1844500817343524e-05	1.824463491318627e-06	1.2678953310462281e-05	8.186871885039243e-06	2.968040609208959e-05	4.983303623201094e-07	2.7298349963509037e-05	4.5419987743039397e-07	4.724536920022581e-06	7.829338163004811e-07		7.620243538263947e-06		1.3151895422022213e-05	1.2452666673778823e-05	1.3238170531155812e-05
bos_taurus	6_0,10_0				1.0423691356286542e-05	3.578446957301664e-06		3.6525746591974e-05			1.8183026624382802e-06					5.843331176062803e-06	2.462126809488879e-05					9.757704552078895e-07		8.495289557471795e-07	7.199746190170698e-05			1.1341650928704174e-05		
monodelphis_domestica	4_2,6_1,10_0					1.0806358271909676e-05	5.9997074444586106e-06		1.8524678245250638e-07		6.573557202410568e-07																	2.237569659140085e-07		
bos_taurus	4_2,6_1,10_0				3.4240639510398193e-07	3.490400920386235e-05		1.0723131270698258e-06			4.2754353281653244e-05					2.556624267847822e-07	2.8116275373269417e-06					6.386304759327229e-06		0.00012407292534640375	2.5896711686095956e-06			3.8673768142472936e-07		
sus_scrofa	4_2,6_1,10_0				8.190145783186832e-08						1.261889939308841e-06						9.60384474873714e-06					8.471110658025878e-06								
homo_sapiens	4_2,6_1,10_0	7.490538092930814e-07	4.488957336928825e-07	1.3758828164020761e-06	6.405717163472031e-08	8.114071151650585e-06	2.3164242451115607e-06	8.74909260578462e-07	1.4133689295762561e-07	2.086535004534999e-05	3.793977957353418e-06	3.2753436519604886e-06	2.4020928037282837e-07	1.4763717071722874e-07	5.312225413497633e-07	3.289710124139883e-08	5.415118954672111e-07	9.21657982664014e-07	1.437061019380358e-05	0.00021174396534490243	2.838823813051408e-07	5.972575551109672e-06	1.4309550476833173e-07	3.608902714476998e-05		8.2660755816358e-07		2.492551323502449e-06	6.36870232824674e-06	2.3718934046931785e-05
rattus_norvegicus	4_2,6_1,10_0				6.14791296036377e-08	8.260620619312373e-06		2.567677129568113e-07			7.319277402441939e-07					4.806503638081518e-08	1.748699909493937e-06							9.566784385083925e-06	6.464566903962461e-07			2.0563104415586745e-07		
bos_taurus	4_2,6_0,10_0				1.1991049478804613e-05	3.3619522839654685e-06		3.719154884467879e-05			2.341795305519788e-06					7.221869008100554e-06	2.832936688867472e-05					1.1662597450257576e-06		1.2957448029397374e-06	7.763676156636191e-05			1.4980747354118775e-05		
rattus_norvegicus	4_2,6_0,10_0				1.1237256832838194e-05	1.577640706110228e-06		2.6421502934882735e-05			3.8177700486202135e-06					3.186646141453284e-06	2.9420668425720494e-05							1.1600260117391192e-06	3.273102217555757e-05			2.0401441998522536e-05		
homo_sapiens	4_2,6_0,10_0	2.2179343901869973e-05	1.7085491131356182e-05	9.98262634887687e-06	7.014370485223157e-06	2.2281590935467287e-06	3.5053798622184557e-07	7.536556587700884e-06	3.117191665661025e-05	1.6309841104933288e-06	2.7165876144320873e-06	4.077280706276997e-06	1.0096891165792109e-05	7.969714020952496e-06	3.2125875414180566e-05	1.816702894274409e-06	1.1975889697644648e-05	7.748394685010692e-06	2.8465111904745317e-05	5.277846691051166e-07	2.6459259243094543e-05	6.081494041953883e-07	4.637995968548048e-06	9.917046248621063e-07		7.641616165130894e-06		1.2118811229362924e-05	9.683667864443582e-06	1.0977678623666027e-05
sus_scrofa	4_2,6_0,10_0				1.1338745393040452e-05						5.409884591294339e-06			1.5962482274169135e-05		6.237457308786117e-06	4.969153501834143e-05					1.8561699894436172e-06								
bos_taurus	9_0,7_0,5_0				4.227556540111553e-07	9.493819821059617e-07		6.022237078584061e-07			2.3499667651625927e-05					4.750263572706247e-07	1.3039056608585565e-06					4.144534362602222e-07		5.310666621545691e-05	2.078506421404473e-06			2.087728642320957e-07		
rattus_norvegicus	9_0,7_0,5_0				1.392235745877009e-07	6.703723908351751e-07		1.228787300903917e-06			6.245324904059928e-07					2.285885972428597e-07	2.7029712071824967e-06							3.951947015694026e-06	2.110517079915884e-06			1.412305192004825e-07		
sus_scrofa	9_0,7_0,5_0				2.2618543567560168e-07						3.3733691446869997e-07			6.596067055441789e-07		2.8061326177211176e-07	4.109107703439772e-06					2.937186656037886e-07								
sus_scrofa	9_0,5_0				7.802811923217168e-06						3.5732725014091934e-06			1.5918508493799522e-05		5.089552454894847e-06	9.861858488255454e-05					6.238611098381978e-06								
rattus_norvegicus	9_0,5_0				9.256285489290947e-06	6.406232503594936e-06		2.302088578421142e-05			2.5896083356587363e-06					3.0185991296370123e-06	2.382545359220561e-05							8.998661901765734e-07	2.9561166757329462e-05			1.8105649430848312e-05		
bos_taurus	9_0,5_0				8.0303151028266e-06	1.6088712762181554e-05		1.986689150579211e-05			3.103447952622744e-06					4.26719709151819e-06	1.8179978595096162e-05					4.780005452353296e-06		7.954938719623808e-07	3.988010636983303e-05			7.479056039729651e-06		
